Algorithm;Input;Solution;Time
greedy;211;3533.0;2.9538461538461543e-05
greedy;212;3293.0;2.6615384615384617e-05
greedy;213;3273.0;3.292307692307693e-05
greedy;214;3375.0;2.7538461538461535e-05
greedy;215;3466.0;2.9769230769230777e-05
greedy;216;3142.0;3.553846153846154e-05
greedy;217;3263.0;5.130769230769231e-05
greedy;218;3625.0;3.8307692307692305e-05
greedy;219;3360.0;3.669230769230769e-05
greedy;22;623.0;5.923076923076922e-06
greedy;220;3266.0;3.738461538461538e-05
greedy;22000;26058.0;0.0032295384615384616
greedy;221;3300.0;2.7000000000000002e-05
greedy;222;3447.0;3.023076923076923e-05
greedy;223;3668.0;3.207692307692308e-05
greedy;224;3411.0;3.176923076923077e-05
greedy;225;3492.0;3.061538461538461e-05
greedy;226;3301.0;3.015384615384615e-05
greedy;227;3678.0;3.5923076923076925e-05
greedy;228;3439.0;4.038461538461539e-05
greedy;229;3257.0;3.1230769230769235e-05
greedy;23;606.0;5.5384615384615385e-06
greedy;230;3237.0;3.9307692307692316e-05
greedy;23000;27282.0;0.003378307692307692
greedy;231;3528.0;3.053846153846154e-05
greedy;232;3634.0;3.584615384615385e-05
greedy;233;3362.0;2.823076923076923e-05
greedy;234;3498.0;4.023076923076923e-05
greedy;235;3407.0;3.576923076923077e-05
greedy;236;3590.0;2.8923076923076918e-05
greedy;237;3603.0;4.023076923076923e-05
greedy;238;3479.0;4.392307692307693e-05
greedy;239;3629.0;4.6615384615384605e-05
greedy;24;603.0;7.999999999999998e-06
greedy;240;3371.0;3.192307692307693e-05
greedy;24000;27133.0;0.003901538461538461
greedy;241;3663.0;4.1461538461538454e-05
greedy;242;3769.0;3.338461538461539e-05
greedy;243;3802.0;2.9461538461538458e-05
greedy;244;3723.0;4.230769230769231e-05
greedy;245;3754.0;3.438461538461539e-05
greedy;246;3676.0;3.66923076923077e-05
greedy;247;3382.0;3.046153846153847e-05
greedy;248;3731.0;2.8538461538461543e-05
greedy;249;3449.0;4.569230769230769e-05
greedy;25;758.0;6e-06
greedy;250;3523.0;3.2076923076923074e-05
greedy;25000;28453.0;0.0036763076923076923
greedy;251;3365.0;3.3923076923076924e-05
greedy;252;3594.0;2.9692307692307698e-05
greedy;253;3597.0;4.876923076923077e-05
greedy;254;3399.0;3.415384615384615e-05
greedy;255;3608.0;3.384615384615384e-05
greedy;256;3688.0;3.461538461538462e-05
greedy;257;3412.0;4.7538461538461534e-05
greedy;258;3796.0;3.684615384615385e-05
greedy;259;3563.0;3.553846153846154e-05
greedy;26;644.0;6.3846153846153836e-06
greedy;260;3785.0;3.361538461538461e-05
greedy;26000;28849.0;0.0037336153846153843
greedy;261;3852.0;3.1538461538461545e-05
greedy;262;3637.0;3.946153846153845e-05
greedy;263;3732.0;3.415384615384615e-05
greedy;264;3721.0;3.3769230769230766e-05
greedy;265;3633.0;4.323076923076923e-05
greedy;266;3680.0;3.4692307692307694e-05
greedy;267;3942.0;3.8615384615384614e-05
greedy;268;3681.0;3.6230769230769235e-05
greedy;269;3979.0;3.7538461538461535e-05
greedy;27;717.0;8.307692307692306e-06
greedy;270;3707.0;3.7076923076923074e-05
greedy;27000;28884.0;0.004122692307692307
greedy;271;3757.0;4.7769230769230774e-05
greedy;272;4157.0;3.8384615384615394e-05
greedy;273;3371.0;3.93076923076923e-05
greedy;274;3673.0;4.100000000000001e-05
greedy;275;4056.0;3.592307692307692e-05
greedy;276;3636.0;3.453846153846154e-05
greedy;277;3883.0;3.738461538461538e-05
greedy;278;4130.0;3.530769230769231e-05
greedy;279;3856.0;3.384615384615385e-05
greedy;28;710.0;8.076923076923077e-06
greedy;280;4304.0;3.7e-05
greedy;28000;29678.0;0.004668846153846154
greedy;281;3744.0;3.7e-05
greedy;282;3718.0;5.5615384615384614e-05
greedy;283;3628.0;3.776923076923077e-05
greedy;284;3702.0;3.9076923076923075e-05
greedy;285;4031.0;3.3769230769230766e-05
greedy;286;3858.0;3.7999999999999995e-05
greedy;287;3514.0;4.492307692307692e-05
greedy;288;3783.0;5.2076923076923086e-05
greedy;289;3802.0;3.869230769230769e-05
greedy;29;795.0;6.846153846153846e-06
greedy;290;3809.0;3.869230769230769e-05
greedy;29000;29740.0;0.004640461538461539
greedy;291;3882.0;5.0769230769230766e-05
greedy;292;3976.0;3.815384615384615e-05
greedy;293;4025.0;3.5461538461538464e-05
